Indicator Name,Geography,Region,Year,Category,Subcategory,Numerator,Denominator,Rate,Lower 95% Confidence Limit,Upper 95% Confidence Limit,
Pregnancy-Related Mortality Ratio,Humboldt,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Imperial,Orange - San Diego - Imperial,2009-2011,Total Population,Total population,31,259479,11.9,8.1,17,
Pregnancy-Related Mortality Ratio,Inyo,Southern Inland,2009-2011,Total Population,Total population,29,187884,15.4,10.3,22.2,
Pregnancy-Related Mortality Ratio,Kern,Southern Central Valley,2009-2011,Total Population,Total population,41,169857,24.1,17.3,32.7,
Pregnancy-Related Mortality Ratio,Kings,Southern Central Valley,2009-2011,Total Population,Total population,41,169857,24.1,17.3,32.7,
Pregnancy-Related Mortality Ratio,Lake,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Lassen,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Los Angeles,Los Angeles - Santa Barbara - Ventura,2009-2011,Total Population,Total population,70,453968,15.4,12,19.5,
Pregnancy-Related Mortality Ratio,Madera,Southern Central Valley,2009-2011,Total Population,Total population,41,169857,24.1,17.3,32.7,
Pregnancy-Related Mortality Ratio,Marin,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Mariposa,Southern Central Valley,2009-2011,Total Population,Total population,41,169857,24.1,17.3,32.7,
Pregnancy-Related Mortality Ratio,Mendocino,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Merced,Southern Central Valley,2009-2011,Total Population,Total population,41,169857,24.1,17.3,32.7,
Pregnancy-Related Mortality Ratio,Modoc,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Mono,Southern Inland,2009-2011,Total Population,Total population,29,187884,15.4,10.3,22.2,
Pregnancy-Related Mortality Ratio,Monterey,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Napa,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Nevada,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Orange,Orange - San Diego - Imperial,2009-2011,Total Population,Total population,31,259479,11.9,8.1,17,
Pregnancy-Related Mortality Ratio,Placer,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Plumas,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Riverside,Southern Inland,2009-2011,Total Population,Total population,29,187884,15.4,10.3,22.2,
Pregnancy-Related Mortality Ratio,Sacramento,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,San Benito,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,San Bernardino,Southern Inland,2009-2011,Total Population,Total population,29,187884,15.4,10.3,22.2,
Pregnancy-Related Mortality Ratio,San Diego,Orange - San Diego - Imperial,2009-2011,Total Population,Total population,31,259479,11.9,8.1,17,
Pregnancy-Related Mortality Ratio,San Francisco,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,San Joaquin,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,San Luis Obispo,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,San Mateo,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Santa Barbara,Los Angeles - Santa Barbara - Ventura,2009-2011,Total Population,Total population,70,453968,15.4,12,19.5,
Pregnancy-Related Mortality Ratio,Santa Clara,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Santa Cruz,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Shasta,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Sierra,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Siskiyou,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Solano,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Sonoma,North and Mid-Coastal,2009-2011,Total Population,Total population,33,302410,10.9,7.5,15.3,
Pregnancy-Related Mortality Ratio,Stanislaus,Southern Central Valley,2009-2011,Total Population,Total population,41,169857,24.1,17.3,32.7,
Pregnancy-Related Mortality Ratio,Sutter,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Tehama,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Trinity,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Tulare,Southern Central Valley,2009-2011,Total Population,Total population,41,169857,24.1,17.3,32.7,
Pregnancy-Related Mortality Ratio,Tuolumne,Southern Central Valley,2009-2011,Total Population,Total population,41,169857,24.1,17.3,32.7,
Pregnancy-Related Mortality Ratio,Ventura,Los Angeles - Santa Barbara - Ventura,2009-2011,Total Population,Total population,70,453968,15.4,12,19.5,
Pregnancy-Related Mortality Ratio,Yolo,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,Yuba,Northeastern and Northern Central Valley,2009-2011,Total Population,Total population,23,165178,13.9,8.8,20.9,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Race-Ethnicity,Hispanic,89,776897,11.5,9.2,14.1,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Race-Ethnicity,Multi-Race,,30711,,,,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Race-Ethnicity,Black,44,83397,52.8,38.3,70.8,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Race-Ethnicity,AIAN,,5701,,,,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Race-Ethnicity,Asian,22,185415,11.9,7.4,18,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Race-Ethnicity,Pacific Islander,,6785,,,,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Race-Ethnicity,White,67,421136,15.9,12.3,20.2,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Race-Ethnicity,Other,,990,,,,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Race-Ethnicity,Unknown,,27744,,,,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Age,<20 years,13,130673,9.9,5.3,17,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Age,20-24 years,24,324590,7.4,4.7,11,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Age,25-29 years,57,412024,13.8,10.5,17.9,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Age,30-34 years,64,390298,16.4,12.6,20.9,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Age,35-39 years,41,220442,18.6,13.3,25.2,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Age,40+ years,28,60555,46.2,30.7,66.8,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Education,Less than high school,65,351431,18.5,14.3,23.6,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Education,High school graduate,67,387998,17.3,13.4,21.9,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Education,Some college,58,364224,15.9,12.1,20.6,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Education,College graduate,34,380152,8.9,6.2,12.5,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Nativity,Born in U.S.,146,903386,16.2,13.5,18.8,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Nativity,Born outside U.S.,79,634286,12.5,9.9,15.5,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Prepregnancy Body Mass Index,Underweight/Normal weight (<25),57,768410,7.4,5.6,9.6,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Prepregnancy Body Mass Index,Overweight (25.0-29.9),50,371503,13.5,10,17.7,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Prepregnancy Body Mass Index,Obese I/II (30-39.9),64,257189,24.9,19.2,31.8,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Prepregnancy Body Mass Index,Obese III (40+),27,43671,61.8,40.7,90,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Cause of Death,Cardiovascular disease,58,1538776,3.8,2.9,4.9,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Cause of Death,Sepsis/Infection,50,1538776,3.2,2.4,4.3,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Cause of Death,Hemorrhage,29,1538776,1.9,1.3,2.7,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Cause of Death,Hypertensive disorders,27,1538776,1.8,1.2,2.6,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Cause of Death,Pulmonary embolism,22,1538776,1.4,0.9,2.2,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Cause of Death,Amniotic fluid embolism,11,1538776,0.7,0.4,1.3,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Cause of Death,Cerebrovascular accident,,1538776,,,,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Cause of Death,Anesthesia complications,,1538776,,,,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Cause of Death,Other,20,1538776,1.3,0.8,2,
Pregnancy-Related Mortality Ratio,California,,2009-2011,Cause of Death,Undetermined,,1538776,,,,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Total Population,Total population,185,1515790,12.2,10.4,14,
Pregnancy-Related Mortality Ratio,California,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,California,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,California,Southern Central Valley,2010-2012,Total Population,Total population,37,168082,22,15.5,30.3,
Pregnancy-Related Mortality Ratio,California,Los Angeles - Santa Barbara - Ventura,2010-2012,Total Population,Total population,57,444819,12.8,9.7,16.6,
Pregnancy-Related Mortality Ratio,California,Southern Inland,2010-2012,Total Population,Total population,22,185278,11.9,7.4,18,
Pregnancy-Related Mortality Ratio,California,Orange - San Diego - Imperial,2010-2012,Total Population,Total population,28,256561,10.9,7.3,15.8,
Pregnancy-Related Mortality Ratio,Alameda,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Alpine,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Amador,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Butte,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Calaveras,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Colusa,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Contra Costa,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Del Norte,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,El Dorado,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Fresno,Southern Central Valley,2010-2012,Total Population,Total population,37,168082,22,15.5,30.3,
Pregnancy-Related Mortality Ratio,Glenn,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Humboldt,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Imperial,Orange - San Diego - Imperial,2010-2012,Total Population,Total population,28,256561,10.9,7.3,15.8,
Pregnancy-Related Mortality Ratio,Inyo,Southern Inland,2010-2012,Total Population,Total population,22,185278,11.9,7.4,18,
Pregnancy-Related Mortality Ratio,Kern,Southern Central Valley,2010-2012,Total Population,Total population,37,168082,22,15.5,30.3,
Pregnancy-Related Mortality Ratio,Kings,Southern Central Valley,2010-2012,Total Population,Total population,37,168082,22,15.5,30.3,
Pregnancy-Related Mortality Ratio,Lake,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Lassen,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Los Angeles,Los Angeles - Santa Barbara - Ventura,2010-2012,Total Population,Total population,57,444819,12.8,9.7,16.6,
Pregnancy-Related Mortality Ratio,Madera,Southern Central Valley,2010-2012,Total Population,Total population,37,168082,22,15.5,30.3,
Pregnancy-Related Mortality Ratio,Marin,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Mariposa,Southern Central Valley,2010-2012,Total Population,Total population,37,168082,22,15.5,30.3,
Pregnancy-Related Mortality Ratio,Mendocino,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Merced,Southern Central Valley,2010-2012,Total Population,Total population,37,168082,22,15.5,30.3,
Pregnancy-Related Mortality Ratio,Modoc,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Mono,Southern Inland,2010-2012,Total Population,Total population,22,185278,11.9,7.4,18,
Pregnancy-Related Mortality Ratio,Monterey,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Napa,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Nevada,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Orange,Orange - San Diego - Imperial,2010-2012,Total Population,Total population,28,256561,10.9,7.3,15.8,
Pregnancy-Related Mortality Ratio,Placer,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Plumas,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Riverside,Southern Inland,2010-2012,Total Population,Total population,22,185278,11.9,7.4,18,
Pregnancy-Related Mortality Ratio,Sacramento,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,San Benito,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,San Bernardino,Southern Inland,2010-2012,Total Population,Total population,22,185278,11.9,7.4,18,
Pregnancy-Related Mortality Ratio,San Diego,Orange - San Diego - Imperial,2010-2012,Total Population,Total population,28,256561,10.9,7.3,15.8,
Pregnancy-Related Mortality Ratio,San Francisco,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,San Joaquin,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,San Luis Obispo,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,San Mateo,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Santa Barbara,Los Angeles - Santa Barbara - Ventura,2010-2012,Total Population,Total population,57,444819,12.8,9.7,16.6,
Pregnancy-Related Mortality Ratio,Santa Clara,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Santa Cruz,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Shasta,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Sierra,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Siskiyou,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Solano,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Sonoma,North and Mid-Coastal,2010-2012,Total Population,Total population,25,298458,8.4,5.4,12.4,
Pregnancy-Related Mortality Ratio,Stanislaus,Southern Central Valley,2010-2012,Total Population,Total population,37,168082,22,15.5,30.3,
Pregnancy-Related Mortality Ratio,Sutter,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Tehama,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Trinity,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Tulare,Southern Central Valley,2010-2012,Total Population,Total population,37,168082,22,15.5,30.3,
Pregnancy-Related Mortality Ratio,Tuolumne,Southern Central Valley,2010-2012,Total Population,Total population,37,168082,22,15.5,30.3,
Pregnancy-Related Mortality Ratio,Ventura,Los Angeles - Santa Barbara - Ventura,2010-2012,Total Population,Total population,57,444819,12.8,9.7,16.6,
Pregnancy-Related Mortality Ratio,Yolo,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,Yuba,Northeastern and Northern Central Valley,2010-2012,Total Population,Total population,16,162592,9.8,5.6,16,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Race-Ethnicity,Hispanic,69,751560,9.2,7.1,11.6,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Race-Ethnicity,Multi-Race,,31815,,,,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Race-Ethnicity,Black,37,81319,45.5,32,62.7,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Race-Ethnicity,AIAN,,5477,,,,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Race-Ethnicity,Asian,22,191108,11.5,7.2,17.4,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Race-Ethnicity,Pacific Islander,,6425,,,,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Race-Ethnicity,White,55,417170,13.2,9.9,17.2,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Race-Ethnicity,Other,,1023,,,,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Race-Ethnicity,Unknown,,29893,,,,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Age,<20 years,10,117595,8.5,4.1,15.6,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Age,20-24 years,20,311754,6.4,3.9,9.9,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Age,25-29 years,41,404810,10.1,7.3,13.7,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Age,30-34 years,50,398371,12.6,9.3,16.5,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Age,35-39 years,42,221431,19,13.7,25.6,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Age,40+ years,22,61627,35.7,22.4,54,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Education,Less than high school,50,321587,15.5,11.5,20.5,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Education,High school graduate,54,376383,14.3,10.8,18.7,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Education,Some college,56,370777,15.1,11.4,19.6,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Education,College graduate,23,389593,5.9,3.7,8.9,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Nativity,Born in U.S.,119,907918,13.1,10.8,15.5,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Nativity,Born outside U.S.,65,606746,10.7,8.3,13.7,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Prepregnancy Body Mass Index,Underweight/Normal weight (<25),47,757322,6.2,4.6,8.3,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Prepregnancy Body Mass Index,Overweight (25.0-29.9),42,369686,11.4,8.2,15.4,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Prepregnancy Body Mass Index,Obese I/II (30-39.9),50,258387,19.4,14.4,25.5,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Prepregnancy Body Mass Index,Obese III (40+),23,45180,50.9,32.3,76.4,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Cause of Death,Cardiovascular disease,51,1515790,3.4,2.5,4.4,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Cause of Death,Sepsis/Infection,18,1515790,1.2,0.7,1.9,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Cause of Death,Hemorrhage,28,1515790,1.8,1.2,2.7,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Cause of Death,Hypertensive disorders,23,1515790,1.5,1,2.3,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Cause of Death,Pulmonary embolism,22,1515790,1.5,0.9,2.2,
Pregnancy-Related Mortality Ratio,California,,2010-2012,Cause of Death,Amniotic fluid embolism,12,1515790,0.8,0.4,1.4,
